frame_index,timestamp_sec,frame_width,frame_height,adapter,prediction_index,kind,label,confidence,visible,x1,y1,x2,y2,x1_norm,y1_norm,x2_norm,y2_norm
0,0.0,640,360,demo_box,0,box,red_region,,,36.0,80.0,120.0,146.0,0.05625,0.222222,0.1875,0.405556
0,0.0,640,360,demo_point,0,point,green_center,,1,320.5322,270.6162,320.5322,270.6162,0.500832,0.751712,0.500832,0.751712
1,0.033333,640,360,demo_box,0,box,red_region,,,38.0,80.0,124.0,146.0,0.059375,0.222222,0.19375,0.405556
1,0.033333,640,360,demo_point,0,point,green_center,,1,330.8242,270.8242,330.8242,270.8242,0.516913,0.752289,0.516913,0.752289
2,0.066667,640,360,demo_box,0,box,red_region,,,42.0,80.0,126.0,146.0,0.065625,0.222222,0.196875,0.405556
2,0.066667,640,360,demo_point,0,point,green_center,,1,340.5322,270.6162,340.5322,270.6162,0.532082,0.751712,0.532082,0.751712
3,0.1,640,360,demo_box,0,box,red_region,,,44.0,80.0,130.0,146.0,0.06875,0.222222,0.203125,0.405556
3,0.1,640,360,demo_point,0,point,green_center,,1,350.8242,270.8242,350.8242,270.8242,0.548163,0.752289,0.548163,0.752289
4,0.133333,640,360,demo_box,0,box,red_region,,,48.0,80.0,132.0,146.0,0.075,0.222222,0.20625,0.405556
4,0.133333,640,360,demo_point,0,point,green_center,,1,360.5322,270.6162,360.5322,270.6162,0.563332,0.751712,0.563332,0.751712
5,0.166667,640,360,demo_box,0,box,red_region,,,50.0,80.0,136.0,146.0,0.078125,0.222222,0.2125,0.405556
5,0.166667,640,360,demo_point,0,point,green_center,,1,369.1758,270.8242,369.1758,270.8242,0.576837,0.752289,0.576837,0.752289
6,0.2,640,360,demo_box,0,box,red_region,,,54.0,80.0,138.0,146.0,0.084375,0.222222,0.215625,0.405556
6,0.2,640,360,demo_point,0,point,green_center,,1,379.4678,270.6162,379.4678,270.6162,0.592918,0.751712,0.592918,0.751712
7,0.233333,640,360,demo_box,0,box,red_region,,,56.0,80.0,142.0,146.0,0.0875,0.222222,0.221875,0.405556
7,0.233333,640,360,demo_point,0,point,green_center,,1,388.4314,270.8403,388.4314,270.8403,0.606924,0.752334,0.606924,0.752334
8,0.266667,640,360,demo_box,0,box,red_region,,,60.0,80.0,144.0,146.0,0.09375,0.222222,0.225,0.405556
8,0.266667,640,360,demo_point,0,point,green_center,,1,397.4857,270.7429,397.4857,270.7429,0.621071,0.752063,0.621071,0.752063
9,0.3,640,360,demo_box,0,box,red_region,,,62.0,80.0,148.0,146.0,0.096875,0.222222,0.23125,0.405556
9,0.3,640,360,demo_point,0,point,green_center,,1,405.3714,270.7429,405.3714,270.7429,0.633393,0.752063,0.633393,0.752063
10,0.333333,640,360,demo_box,0,box,red_region,,,66.0,80.0,150.0,146.0,0.103125,0.222222,0.234375,0.405556
10,0.333333,640,360,demo_point,0,point,green_center,,1,414.6286,270.7429,414.6286,270.7429,0.647857,0.752063,0.647857,0.752063
11,0.366667,640,360,demo_box,0,box,red_region,,,68.0,80.0,154.0,146.0,0.10625,0.222222,0.240625,0.405556
11,0.366667,640,360,demo_point,0,point,green_center,,1,422.5143,270.7429,422.5143,270.7429,0.660179,0.752063,0.660179,0.752063
12,0.4,640,360,demo_box,0,box,red_region,,,72.0,80.0,156.0,146.0,0.1125,0.222222,0.24375,0.405556
12,0.4,640,360,demo_point,0,point,green_center,,1,429.1758,270.8242,429.1758,270.8242,0.670587,0.752289,0.670587,0.752289
13,0.433333,640,360,demo_box,0,box,red_region,,,74.0,80.0,160.0,146.0,0.115625,0.222222,0.25,0.405556
13,0.433333,640,360,demo_point,0,point,green_center,,1,436.6106,270.6162,436.6106,270.6162,0.682204,0.751712,0.682204,0.751712
14,0.466667,640,360,demo_box,0,box,red_region,,,78.0,80.0,162.0,146.0,0.121875,0.222222,0.253125,0.405556
14,0.466667,640,360,demo_point,0,point,green_center,,1,443.3894,270.6162,443.3894,270.6162,0.692796,0.751712,0.692796,0.751712
15,0.5,640,360,demo_box,0,box,red_region,,,80.0,80.0,166.0,146.0,0.125,0.222222,0.259375,0.405556
15,0.5,640,360,demo_point,0,point,green_center,,1,449.1758,270.8242,449.1758,270.8242,0.701837,0.752289,0.701837,0.752289
16,0.533333,640,360,demo_box,0,box,red_region,,,84.0,80.0,168.0,146.0,0.13125,0.222222,0.2625,0.405556
16,0.533333,640,360,demo_point,0,point,green_center,,1,455.2571,270.7429,455.2571,270.7429,0.711339,0.752063,0.711339,0.752063
